locationFips,location,year,count_birth,rate_fertility,rate_birth,count_crudeDeathDup,rate_deathCrudeTenThousand,rate_naturalIncrease,count_pregnancies,rate_pregnancy,count_abortions,rate_abortion,count_fetalDeaths,rate_fetalDeaths,count_noPreviousBirths,percent_noPreviousBirths,count_fourPlusBirths,percent_fourPlusBirths,count_liveBirthWithInOneYr,percent_liveBirthWithInOneYr,count_birth15To17Yr,count_birth18To19Yr,count_birth15To19Yr,count_pregnancy15To17Yr,count_pregnancy18To19Yr,count_pregnancy15To19Yr,rate_birth15To17Yr,rates_birth18To19Yr,rate_birth15To19Yr,rate_pregnancy15To17Yr,rates_pregnancy18To19Yr,rate_pregnancy15To19Yr,count_birthMotherWhite,count_birthMotherAfricanAmerican,count_birthMotherAmericanIndian,count_birthMotherAsianPacificIslander,count_birthMotherOtherUnknown,count_birthMotherHispanic,count_birthMotherLeHighSchool,count_birthMotherHighSchoolGED,count_birthMotherSomeCollegeNoDegree,count_birthMotherAssociateDegree,count_birthMotherBachelorDegree,count_birthMotherGraduateDegree,count_birthToUnmarriedMothers,count_birthToForeignBornMothers,count_birthWithNoFatherDocumented,count_birthOnMedicaid,count_birthForMothersSmoked,percent_birthToUnmarriedMothers,percent_birthToForeignBornMothers,percent_birthWithNoFatherDocumented,percent_birthOnMedicaid,percent_birthForMothersSmoked,count_firstTrimesterPNC,count_adequacyPNCInadequate,count_adequacyPNCIntermediate,count_adequacyPNCAdequate,count_adequacyPNCIntensive,count_birthOutOfState,percent_firstTrimesterPNC,percent_adequacyPNCInadequate,percent_adequacyPNCIntermediate,percent_adequacyPNCAdequate,percent_adequacyPNCIntensive,percent_birthOutOfState,count_birthVaginal,count_birthVBAC,count_birthTotalCesarean,count_birthFirstTimeCesarean,count_birthRepeatCesarean,percent_birthVaginal,percent_birthVBAC,percent_birthTotalCesarean,percent_birthFirstTimeCesarean,percent_birthRepeatCesarean,count_birthSingleton,count_birthPreterm,percent_birthPreterm,count_birthLowBirthWeight,percent_birthLowBirthWeight,count_birthVeryLowBirthWeight,percent_birthVeryLowBirthWeight,count_crudeDeath,rate_crudeDeathOneHundredThousand,rate_ageAdjustedDeath,count_crudeDeathPrematureLe75Yrs,rate_ageAdjustedDeathPrematureLe75Yrs,count_crudeDeathLe1Yrs,count_crudeDeath1To4Yrs,count_crudeDeath5To9Yrs,count_crudeDeath10To14Yrs,count_crudeDeath15To19Yrs,count_crudeDeath20To34Yrs,count_crudeDeath35To49Yrs,count_crudeDeath50To64Yrs,count_crudeDeath65To79Yrs,count_crudeDeath80PlusYrs,rate_crudeDeathLe1Yrs,rate_crudeDeath1To4Yrs,rate_crudeDeath5To9Yrs,rate_crudeDeath10To14Yrs,rate_crudeDeath15To19Yrs,rate_crudeDeath20To34Yrs,rate_crudeDeath35To49Yrs,rate_crudeDeath50To64Yrs,rate_crudeDeath65To79Yrs,rate_crudeDeath80PlusYrs,count_crudeDeathCancer,count_crudeDeathHeartDisease,count_crudeDeathCOVID19,count_crudeDeathUnintentInjury,count_crudeDeathChonicLowerRespiratoryDisease,count_crudeDeathStroke,count_crudeDeathAlzheimer,count_crudeDeathDiabetes,count_crudeDeathInfluenzaPneumonia,count_crudeDeathSuicide,count_crudeDeathNephritis,count_crudeDeathParkinson,count_crudeDeathChronicLiverDisease,count_crudeDeathHypertension,rate_crudeDeathCancer,rate_crudeDeathHeartDisease,rate_crudeDeathRateCOVID19,rate_crudeDeathUnintentInjury,rate_crudeDeathAlzheimer,rate_crudeDeathChonicLowerRespiratoryDisease,rate_crudeDeathStroke,rate_crudeDeathDiabetes,rate_crudeDeathSuicide,rate_crudeDeathInfluenzaPneumonia,rate_crudeDeathParkinson,rate_crudeDeathChronicLiverDisease,rate_crudeDeathChronicHypertension
27003,Anoka,2016,4269,65.7,12.3,2104,5.9,6.4,4838,74.5,553,8.5,,,,,,0.046,,0.014,,,,,,,4.3,24.6,11.1,7.3,34.2,16.4,,,,,,,,,,,,,,,,,,0.32,0.18,0.08,,0.08,,,,,,,,,,,,,,,,,,,,0.251,0.159,0.092,,253,0.061,179,0.043,,,2104,608.2,621.8,1027,246.1,,,,,,,,,,,,,,,,,,,,,597,328,,134,122,94,94,68,,53,,26,37,,,,,,,,,,,,,,
27003,Anoka,2015,4305,65.9,12.5,2037,5.9,6.6,4888,74.9,541,8.3,,,,,,0.05,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.316,,0.082,,0.096,,,,,,,,,,,,,,,,,,,,0.261,0.155,0.106,,330,0.083,208,0.05,,,2037,591.9,630.9,962,234.5,,,,,,,,,,,,,,,,,,,,,535,344,,119,133,90,83,60,17,55,34,,,,,,,,,,,,,,,,
27005,Becker,2019,374,66.3,10.9,405,11.8,-0.9,385,68.2,10,NA,1,NA,116,0.31,50,0.134,5,NA,2,14,16,4,15,19,NA,NA,NA,NA,NA,NA,302,9,51,2,3,7,22,53,56,56,67,37,140,5,75,202,77,0.374,NA,0.201,0.54,0.206,240,47,29,123,120,48,0.642,0.126,0.078,0.329,0.321,0.128,267,10,97,,,0.714,NA,0.259,,,362,26,0.072,21,0.058,0,NA,405,1176.5,835.8,174,376.7,2,2,1,1,1,14,13,50,140,181,NA,NA,NA,NA,NA,NA,NA,700.3,2509.9,10672.2,72,54,,15,19,16,22,17,3,10,,3,,,209.2,156.9,,NA,63.9,NA,NA,NA,NA,NA,NA,,
27005,Becker,2017,399,71.5,11.7,367,10.8,0.9,410,73.5,8,NA,3,NA,131,0.328,47,0.118,8,NA,2,13,15,2,14,16,NA,NA,NA,NA,NA,NA,325,3,54,3,2,12,22,54,61,62,69,17,177,10,104,231,81,0.444,NA,0.261,0.579,0.203,211,62,18,116,105,64,0.529,0.155,NA,0.291,0.263,0.16,301,4,93,46,47,0.754,NA,0.233,0.115,0.118,387,27,0.07,27,0.07,5,NA,367,1076.3,753.6,137,286.3,1,0,0,1,2,9,10,52,116,176,NA,NA,NA,NA,NA,NA,NA,717,2212.9,10718.6,74,63,,16,27,22,21,11,5,7,,1,,,217,184.8,,NA,61.6,79.2,64.5,NA,NA,NA,NA,,
27005,Becker,2015,395,74.3,11.8,364,10.9,0.9,403,75.8,,,,,,,,0.145,,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.423,,0.248,,0.265,,,,,,,,,,,,,,,,,,,,0.234,0.117,0.117,,22,0.061,17,0.045,,,364,1090.3,768.8,134,291.3,,,,,,,,,,,,,,,,,,,,,65,54,,26,24,23,16,11,6,6,5,,,,,,,,,,,,,,,,
27005,Becker,2016,448,82.1,13.3,331,10.9,2.4,456,83.5,,,,,,,,0.133,,0.022,,,,,,,4.2,46.4,17.7,5.6,46.4,18.6,,,,,,,,,,,,,,,,,,0.395,0.02,0.21,,0.21,,,,,,,,,,,,,,,,,,,,0.273,0.141,0.132,,35,0.081,21,0.048,,,331,981.2,704.3,129,290.7,,,,,,,,,,,,,,,,,,,,,77,43,,29,19,18,28,9,,5,,6,3,,,,,,,,,,,,,,
27005,Becker,2018,431,76.3,12.5,359,10.4,2.1,436,77.2,5,NA,0,NA,141,0.327,52,0.121,6,NA,5,21,26,5,22,27,NA,61.6,25.1,NA,64.5,26.1,352,3,67,2,2,5,29,56,76,70,68,34,171,9,88,241,71,0.397,NA,0.204,0.559,0.165,250,68,17,165,101,63,0.58,0.158,NA,0.383,0.234,0.146,307,9,115,,,0.712,NA,0.267,,,415,29,0.07,16,NA,3,NA,359,1044.5,742.7,144,309.7,0,0,0,0,0,8,12,67,97,175,NA,NA,NA,NA,NA,NA,NA,923.9,1850.4,10657.7,80,66,,18,25,17,21,14,4,4,,12,,,232.8,192,,NA,61.1,72.7,NA,NA,NA,NA,NA,,
27005,Becker,2020,362,64.1,10.5,444,12.9,-2.4,366,64.8,3,NA,1,NA,103,0.285,49,0.135,4,NA,2,16,18,2,16,18,NA,NA,NA,NA,NA,NA,307,6,38,3,1,7,38,79,70,68,75,28,128,10,78,*,43,0.354,NA,0.215,*,0.119,240,35,30,131,112,48,0.663,0.097,0.083,0.362,0.309,0.133,264,5,93,,,0.729,NA,0.257,,,348,27,0.078,13,NA,3,NA,444,1288.6,864.7,176,343,0,2,0,0,1,8,12,60,157,204,NA,NA,NA,NA,NA,NA,NA,854.8,2708.3,11690.5,78,66,40,20,19,16,15,16,,,,,10,6,226.4,191.5,116.1,58,NA,NA,NA,NA,,,,NA,NA
27007,Beltrami,2020,595,63.4,12.5,557,11.7,0.8,654,69.7,53,5.6,6,NA,193,0.324,62,0.104,8,NA,5,36,41,8,38,46,NA,42.5,23.5,NA,44.9,26.4,327,18,230,5,1,14,124,130,129,68,90,53,347,14,189,*,119,0.583,NA,0.318,*,0.2,441,118,65,281,116,14,0.741,0.198,0.109,0.472,0.195,NA,420,12,163,,,0.706,NA,0.274,,,587,43,0.073,23,0.039,3,NA,557,1174.1,1017,257,491.2,3,1,1,1,3,24,40,98,143,243,NA,NA,NA,NA,NA,234.7,531.6,1211.1,2367.2,12487.2,90,86,41,47,19,25,23,19,,,,,19,11,189.7,181.3,86.4,99.1,48.5,NA,52.7,NA,,,,NA,NA
27007,Beltrami,2017,660,71.4,14.2,424,9.1,5.1,690,74.6,27,2.9,3,NA,219,0.332,64,0.097,7,NA,17,36,53,18,39,57,NA,39.6,30.4,NA,42.9,32.7,367,13,264,4,1,11,13,179,13,89,96,43,379,16,231,448,133,0.574,NA,0.35,0.679,0.202,502,134,65,342,105,8,0.761,0.203,0.098,0.518,0.159,NA,486,15,159,63,96,0.736,NA,0.241,0.095,0.145,641,46,0.072,26,0.041,2,NA,424,911.6,776.2,174,332,4,1,0,1,4,14,19,63,114,204,NA,NA,NA,NA,NA,NA,NA,770.5,2122.9,10914.9,96,78,,33,23,21,25,22,7,8,,4,,,206.4,167.7,,70.9,53.7,49.4,45.1,47.3,NA,NA,NA,,
