tract2010,county,year,povLevel,fips,zip,povTract,numCounty,pctCounty,numZip,pctZip,numTract,pctTract
27053026022,Hennepin,2017,Lower than Minnesota,27053,55347,0.7,611122.9,49.9,8900.7,29.5,0,21.1
27053024005,Hennepin,2017,Same as Minnesota,27053,55435,6.9,611122.9,49.9,11115.5,81,0,99.8
27053024801,Hennepin,2017,Same as Minnesota,27053,55423,12.2,611122.9,49.9,27235.6,75.1,0,48.5
27053024902,Hennepin,2017,Same as Minnesota,27053,55423,18.8,611122.9,49.9,27235.6,75.1,0,52.1
27053100200,Hennepin,2017,Higher than Minnesota,27053,55412,23.1,611122.9,49.9,10727.9,46,0,41.1
27053106900,Hennepin,2017,Higher than Minnesota,27053,55404,24.9,611122.9,49.9,24518,87.7,0,85.8
27053023802,Hennepin,2017,Same as Minnesota,27053,55410,7.3,611122.9,49.9,7906.7,39.3,0,59.7
27053002700,Hennepin,2017,Higher than Minnesota,27053,55411,29.6,611122.9,49.9,21024.9,68,0,34.4
27053011704,Hennepin,2017,Lower than Minnesota,27053,55417,2.1,611122.9,49.9,10307.6,39.6,0,38.8
27053111500,Hennepin,2017,Lower than Minnesota,27053,55419,1.5,611122.9,49.9,15457.2,56.7,0,64.9
27053110000,Hennepin,2017,Higher than Minnesota,27053,55409,33,611122.9,49.9,7560.8,64.3,0,54.7
27053102800,Hennepin,2017,Higher than Minnesota,27053,55411,44.7,611122.9,49.9,21024.9,68,0,81.3
27053025205,Hennepin,2017,Same as Minnesota,27053,55420,10,611122.9,49.9,10327.8,45.4,0,24.7
27053023200,Hennepin,2017,Same as Minnesota,27053,55305,10.7,611122.9,49.9,10546.1,52.7,0,75.5
27053109800,Hennepin,2017,Same as Minnesota,27053,55410,8.9,611122.9,49.9,7906.7,39.3,0,16.1
27053122500,Hennepin,2017,Same as Minnesota,27053,55426,13.9,611122.9,49.9,14381.9,53.9,0,50.6
27053006800,Hennepin,2017,Higher than Minnesota,27053,55404,21.2,611122.9,49.9,24518,87.7,0,75.7
27053025100,Hennepin,2017,Same as Minnesota,27053,55425,9.4,611122.9,49.9,3181.1,32.4,0,68
27053026712,Hennepin,2017,Same as Minnesota,27053,55369,7.3,611122.9,49.9,15547.5,43.8,0,59.4
27053008100,Hennepin,2017,Same as Minnesota,27053,55408,7.9,611122.9,49.9,18503.5,59.1,0,66.9
27053026512,Hennepin,2017,Same as Minnesota,27053,55441,8.9,611122.9,49.9,7774.4,41.8,0,29.1
27053108800,Hennepin,2017,Same as Minnesota,27053,55406,14.6,611122.9,49.9,14710.3,44.2,0,87.3
27053107000,Hennepin,2017,Same as Minnesota,27053,55408,19.1,611122.9,49.9,18503.5,59.1,0,62.9
27053102000,Hennepin,2017,Same as Minnesota,27053,55411,19.9,611122.9,49.9,21024.9,68,0,59.5
27053025201,Hennepin,2017,Same as Minnesota,27053,55425,10.9,611122.9,49.9,3181.1,32.4,0,48.9
27053101800,Hennepin,2017,Higher than Minnesota,27053,55418,23.1,611122.9,49.9,14999.3,48.6,0,67.6
27053026714,Hennepin,2017,Lower than Minnesota,27053,55311,6.1,611122.9,49.9,10506.1,28.1,0,40.8
27053025801,Hennepin,2017,Lower than Minnesota,27053,55431,4.7,611122.9,49.9,9521.9,51.9,0,61.3
27053011703,Hennepin,2017,Lower than Minnesota,27053,55417,2.9,611122.9,49.9,10307.6,39.6,0,21.2
27053025906,Hennepin,2017,Lower than Minnesota,27053,55438,2.9,611122.9,49.9,4075.7,24.8,0,22.7
27053109700,Hennepin,2017,Same as Minnesota,27053,55407,10.1,611122.9,49.9,17466.9,42.7,0,57.1
27053000300,Hennepin,2017,Same as Minnesota,27053,55412,14.5,611122.9,49.9,10727.9,46,0,18.8
27053000101,Hennepin,2017,Same as Minnesota,27053,55430,16,611122.9,49.9,11161.7,49.2,0,10.7
27053026507,Hennepin,2017,Same as Minnesota,27053,55441,7.2,611122.9,49.9,7774.4,41.8,0,45.6
27053109200,Hennepin,2017,Lower than Minnesota,27053,55408,4.9,611122.9,49.9,18503.5,59.1,0,87
