countyLong,countyLat,countyPK,countyOrder,county,chb,schsacRegion,countyFips,chbPK,schsacRegionPK,chbLong,chbLat,chbOrder,schsacRegionLong,schsacRegionLat,schsacRegionOrder
-95.19693756,48.53525543,4,47,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.19693756,48.53525543,779,,,
-95.19693756,48.36909866,4,48,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.19693756,48.36909866,780,,,
-94.39479828,48.3576355,4,49,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.39479828,48.3576355,781,,,
-94.40052795,48.02532196,4,50,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.40052795,48.02532196,782,-94.40052795,48.02532196,381
-94.39479828,48.01959229,4,51,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.39479828,48.01959229,783,-94.39479828,48.01959229,382
-94.39479828,47.84770584,4,52,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.39479828,47.84770584,784,-94.39479828,47.84770584,383
-94.3890686,47.4237175,4,53,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.3890686,47.4237175,785,-94.3890686,47.4237175,384
-94.39479828,47.40652847,4,54,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.39479828,47.40652847,786,-94.39479828,47.40652847,385
-94.66408539,47.40652847,4,55,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.66408539,47.40652847,787,,,
-95.16828918,47.4007988,4,56,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.16828918,47.4007988,788,,,
-95.16828918,47.67581558,4,57,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.16828918,47.67581558,789,,,
-95.18547821,47.67581558,4,58,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.18547821,47.67581558,790,,,
-95.17974854,47.87635422,4,59,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.17974854,47.87635422,791,,,
-95.23131561,47.87635422,4,60,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.23131561,47.87635422,792,,,
-95.25423431,47.88781357,4,61,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.25423431,47.88781357,793,,,
