long,lat,group,order,region,subregion,mn_fips
-94.90472412,49.36604309,1,114,minnesota,NA,27000
-94.88181305,49.34885406,1,115,minnesota,NA,27000
-94.84170532,49.34312439,1,116,minnesota,NA,27000
-94.8015976,49.33739853,1,117,minnesota,NA,27000
-94.79586792,49.2972908,1,118,minnesota,NA,27000
-94.79013824,49.23999023,1,119,minnesota,NA,27000
-94.76148987,49.17123795,1,120,minnesota,NA,27000
-94.73284149,49.11394501,1,121,minnesota,NA,27000
-94.72138214,49.05664444,1,122,minnesota,NA,27000
-94.69846344,48.98216248,1,123,minnesota,NA,27000
-94.67554474,48.9305954,1,124,minnesota,NA,27000
-94.67554474,48.89048767,1,125,minnesota,NA,27000
-94.67554474,48.85037994,1,126,minnesota,NA,27000
-94.68701172,48.81600571,1,127,minnesota,NA,27000
-94.68127441,48.78735352,1,128,minnesota,NA,27000
-94.66981506,48.76443863,1,129,minnesota,NA,27000
-94.60679626,48.73579025,1,130,minnesota,NA,27000
-94.52085114,48.71287155,1,131,minnesota,NA,27000
-94.44063568,48.68995285,1,132,minnesota,NA,27000
-94.40052795,48.7014122,1,133,minnesota,NA,27000
-94.37187958,48.70714188,1,134,minnesota,NA,27000
-94.33177185,48.70714188,1,135,minnesota,NA,27000
-94.29166412,48.7014122,1,136,minnesota,NA,27000
-94.2515564,48.68995285,1,137,minnesota,NA,27000
-94.234375,48.64984512,1,138,minnesota,NA,27000
-94.15415955,48.64984512,1,139,minnesota,NA,27000
-93.84475708,48.63838959,1,140,minnesota,NA,27000
-93.81037903,48.62119675,1,141,minnesota,NA,27000
-93.78746033,48.59828186,1,142,minnesota,NA,27000
-93.79319,48.53525543,1,143,minnesota,NA,27000
-93.7702713,48.50660706,1,144,minnesota,NA,27000
-93.44941711,48.55817413,1,145,minnesota,NA,27000
-93.43795776,48.59255219,1,146,minnesota,NA,27000
-93.40930939,48.60400772,1,147,minnesota,NA,27000
-93.2660675,48.63838959,1,148,minnesota,NA,27000
-93.23742676,48.64411545,1,149,minnesota,NA,27000
