county,chb,schsacRegion,countyFips,chbPK,schsacRegionPK,countyLong,countyLat,countyOrder,chbLong,chbLat,chbOrder,schsacRegionLong,schsacRegionLat,schsacRegionOrder
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.39479828,48.3576355,49,-94.39479828,48.3576355,781,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.40052795,48.02532196,50,-94.40052795,48.02532196,782,-94.40052795,48.02532196,381
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.39479828,48.01959229,51,-94.39479828,48.01959229,783,-94.39479828,48.01959229,382
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.39479828,47.84770584,52,-94.39479828,47.84770584,784,-94.39479828,47.84770584,383
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.3890686,47.4237175,53,-94.3890686,47.4237175,785,-94.3890686,47.4237175,384
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.39479828,47.40652847,54,-94.39479828,47.40652847,786,-94.39479828,47.40652847,385
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.66408539,47.40652847,55,-94.66408539,47.40652847,787,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.16828918,47.4007988,56,-95.16828918,47.4007988,788,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.16828918,47.67581558,57,-95.16828918,47.67581558,789,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.18547821,47.67581558,58,-95.18547821,47.67581558,790,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.17974854,47.87635422,59,-95.17974854,47.87635422,791,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.23131561,47.87635422,60,-95.23131561,47.87635422,792,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.25423431,47.88781357,61,-95.25423431,47.88781357,793,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.26569366,47.91073227,62,-95.26569366,47.91073227,794,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.26569366,47.93938065,63,-95.26569366,47.93938065,795,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.25423431,47.97375488,64,-95.25423431,47.97375488,796,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.21412659,48.00813293,65,-95.21412659,48.00813293,797,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.20266724,48.02532196,66,-95.20266724,48.02532196,798,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.56935883,48.02532196,67,-95.56935883,48.02532196,799,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.5750885,48.1742897,68,-95.5750885,48.1742897,800,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.5750885,48.35190964,69,-95.5750885,48.35190964,801,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.58654785,48.3576355,70,-95.58654785,48.3576355,802,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.58654785,48.53525543,71,-95.58654785,48.53525543,803,,,
Benton,(C) Benton,Central (C),27009,99000,99000,-93.7702713,45.83662415,73,-93.7702713,45.83662415,1,,,
Benton,(C) Benton,Central (C),27009,99000,99000,-93.7702713,45.5730629,74,-93.7702713,45.5730629,2,,,
Benton,(C) Benton,Central (C),27009,99000,99000,-94.15988159,45.5730629,75,-94.15988159,45.5730629,3,,,
Benton,(C) Benton,Central (C),27009,99000,99000,-94.18280029,45.60171127,76,-94.18280029,45.60171127,4,,,
Benton,(C) Benton,Central (C),27009,99000,99000,-94.20571899,45.63608932,77,-94.20571899,45.63608932,5,,,
Benton,(C) Benton,Central (C),27009,99000,99000,-94.19998932,45.68765259,78,-94.19998932,45.68765259,6,,,
Benton,(C) Benton,Central (C),27009,99000,99000,-94.2286377,45.72776031,79,-94.2286377,45.72776031,7,,,
Benton,(C) Benton,Central (C),27009,99000,99000,-94.22290802,45.73922348,80,-94.22290802,45.73922348,8,,,
Benton,(C) Benton,Central (C),27009,99000,99000,-94.22290802,45.74494934,81,-94.22290802,45.74494934,9,,,
Benton,(C) Benton,Central (C),27009,99000,99000,-94.25728607,45.74494934,82,-94.25728607,45.74494934,10,,,
Benton,(C) Benton,Central (C),27009,99000,99000,-94.26301575,45.77359772,83,-94.26301575,45.77359772,11,,,
Benton,(C) Benton,Central (C),27009,99000,99000,-94.28593445,45.78505707,84,-94.28593445,45.78505707,12,,,
Benton,(C) Benton,Central (C),27009,99000,99000,-94.32604218,45.80797577,85,-94.32604218,45.80797577,13,,,
Benton,(C) Benton,Central (C),27009,99000,99000,-94.35469055,45.83662415,86,-94.35469055,45.83662415,14,,,
Benton,(C) Benton,Central (C),27009,99000,99000,-93.7702713,45.83662415,87,-93.7702713,45.83662415,15,,,
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.43452454,45.29231262,104,-96.43452454,45.29231262,1210,-96.43452454,45.29231262,611
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.44025421,45.31523132,105,-96.44025421,45.31523132,1211,-96.44025421,45.31523132,612
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.44025421,45.32669449,106,-96.44025421,45.32669449,1213,-96.44025421,45.32669449,613
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.45745087,45.35533905,107,-96.45745087,45.35533905,1214,-96.45745087,45.35533905,614
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.51473999,45.37825775,108,-96.51473999,45.37825775,1215,-96.51473999,45.37825775,615
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.57776642,45.40690613,109,-96.57776642,45.40690613,1216,-96.57776642,45.40690613,616
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.68663025,45.44701385,110,-96.68663025,45.44701385,1217,-96.68663025,45.44701385,617
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.72100067,45.49857712,111,-96.72100067,45.49857712,1218,-96.72100067,45.49857712,618
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.77830505,45.55587387,112,-96.77830505,45.55587387,1219,-96.77830505,45.55587387,619
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.81267548,45.58452225,113,-96.81267548,45.58452225,1220,-96.81267548,45.58452225,620
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.23972321,45.59025192,114,-96.23972321,45.59025192,1221,-96.23972321,45.59025192,621
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.23399353,45.41836548,115,-96.23399353,45.41836548,1222,-96.23399353,45.41836548,622
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.10794067,45.41836548,89,,,,,,
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.10794067,45.24074936,90,,,,,,
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.08502197,45.24647522,91,,,,,,
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.09075165,45.17772293,92,,,,,,
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.1251297,45.18918228,93,,,,,,
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.15950775,45.21783066,94,,,,,,
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.16523743,45.21210098,95,,,,,,
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.1938858,45.21783066,96,,,,,,
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.22826385,45.22356033,97,,,,,,
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.26836395,45.22356033,98,,,,,,
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.27983093,45.22928619,99,,,,,,
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.27410126,45.24647522,100,,,,,,
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.302742,45.24647522,101,,,,,,
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.36003876,45.25793839,102,,,,,,
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.43452454,45.26366806,103,,,,,,
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,-96.10794067,45.41836548,116,,,,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.37187958,43.8599205,118,-94.37187958,43.8599205,940,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.37187958,44.11774826,119,-94.37187958,44.11774826,941,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.37187958,44.28390884,120,-94.37187958,44.28390884,942,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.32604218,44.27244949,121,-94.32604218,44.27244949,943,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.30312347,44.26099014,122,-94.30312347,44.26099014,944,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.24009705,44.24380112,123,-94.24009705,44.24380112,945,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.2286377,44.22661209,124,-94.2286377,44.22661209,946,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.18280029,44.21515274,125,-94.18280029,44.21515274,947,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.16561127,44.20369339,126,-94.16561127,44.20369339,948,,,
